Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,Cluster,GeneSet
prerank,TRAVAGLINI_LUNG_PROLIFERATING_NK_T_CELL,-0.8163617718881558,-2.5213857149780785,0.0,0.0,0.0,78/118,12.69%,CDK1;TOP2A;SMC4;MKI67;TYMS;MCM4;MELK;MYBL2;UBE2C;FEN1;MAD2L1;EZH2;CENPU;CENPM;RCC1;CDC20;GMNN;NUF2;CDT1;RFC4;CKS1B;UBE2T;CLSPN;TPX2;NDC80;TK1;FANCI;MCM5;ORC6;RAD51AP1;ZWINT;AURKB;GGH;MCM6;CENPF;DIAPH3;ATAD5;CCNA2;E2F1;TUBA1B;SNRPB;CENPN;PCNA;LSM5;MCM3;CCDC167;MCM10;PKMYT1;SLBP;CKS2;APOBEC3B;STMN1;GTSE1;TACC3;KIF2C;ATAD2;DHFR;SMC2;HMGB2;GINS2;TMEM106C;TROAP;TUBG1;NCAPH;HPRT1;MND1;CDCA3;HELLS;IDH2;CDC45;DTL;OIP5;MCM7;POLQ;HMGN3;SKA3;CDKN3;CENPH,1,C8
prerank,SU_HO_CONV_CENT_CHONDROSARCOMA_C7_PROLIFERATIVE,-0.7567602190049773,-2.5201375870981555,0.0,0.0,0.0,99/214,9.74%,CDK1;TOP2A;RAD21;DEK;FOXM1;YWHAZ;CCNB1;SMC4;POLR2K;CCNB2;MKI67;TYMS;ANLN;NUSAP1;PRC1;MYO10;SRP9;UBE2C;MAD2L1;SUMO3;CENPU;CEP55;CDC20;GMNN;NUF2;NAXE;CDT1;CKS1B;UBE2T;COX6C;CLSPN;TPX2;PTTG1;NDC80;TK1;PCLAF;ATP5MF;NDUFB2;RAD51AP1;KIFC1;ZWINT;PLK1;KIF23;AURKB;KIF4A;CKAP2L;ARHGAP11A;LAMTOR2;ANP32E;GGH;TRIP13;SNRPG;ENY2;METTL9;CENPF;DIAPH3;NDUFB11;HMGB3;CCNA2;KPNA2;AURKAIP1;TUBA1B;SNRPB;RBBP7;HMGN1;MZT1;ATP5F1E;GLO1;HJURP;SNRPC;CENPN;NRM;YBX1;CYC1;KNSTRN;PCNA;PKMYT1;CENPE;HDAC2;SAC3D1;NEK2;GTSE1;TACC3;ATAD2;AURKA;SGO1;TMEM97;DHFR;SMC2;SPC25;CENPA;DEPDC1;TXNDC17;TMEM106C;TROAP;TUBG1;CDCA5;KRTCAP2;GLRX5,1,C8
prerank,ZHONG_PFC_C1_MICROGLIA,-0.7255870726799171,-2.482048407031831,0.0,0.0,0.0,93/234,9.73%,CDK1;TOP2A;DHCR24;RAD21;DEK;CCNB1;CCNB2;ILF2;ANLN;NUSAP1;MCM4;RHEB;PRC1;UBE2C;FEN1;RCC1;GMNN;NUF2;BUB1;ALG3;RFC4;STIL;CKS1B;UBE2T;KIF11;TPX2;NDC80;TK1;PCLAF;WDHD1;ORC6;EBNA1BP2;ZWINT;PLK1;KIF23;DNAJA4;AURKB;KIF4A;SHCBP1;CKAP2L;MCM6;SEC13;TMED9;CENPF;DIAPH3;RRP1;CCNA2;KPNA2;TUBA1B;SNRPB;NME4;RBBP7;HJURP;NRM;PLK4;GINS1;PCNA;NUCKS1;MCM3;AP2S1;GART;CKS2;GTSE1;TACC3;CYCS;TCF19;KIF2C;ATAD2;AURKA;SGO1;DHFR;CDC123;POLE3;SS18L2;SPC25;HMGB2;GINS2;CTPS1;CCNF;DR1;DEPDC1;PIGA;NDUFA6;TXNDC17;UCHL3;GGCT;TMEM106C;TROAP;COA8;CDCA5;MGME1;ABCE1;CHCHD2,1,C8
prerank,FAN_EMBRYONIC_CTX_MICROGLIA_1,-0.8259182095672724,-2.4358700532449444,0.0,0.0,0.0,81/145,9.02%,CDK1;TOP2A;RAD21;DEK;FOXM1;CCNB1;SMC4;CCNB2;MKI67;DLGAP5;ANLN;NUSAP1;RHEB;PRC1;MELK;UBE2C;MAD2L1;EZH2;CENPU;CENPM;TUBA1C;CEP55;CDC20;NUF2;BUB1;TTK;CKS1B;UBE2T;KIF11;CLSPN;TPX2;PTTG1;NDC80;TK1;PCLAF;HERC5;RAD51AP1;ZWINT;PLK1;KIF23;AURKB;KIF4A;SHCBP1;CKAP2L;ARHGAP11A;ANP32E;GGH;CDCA2;CENPF;DIAPH3;ATAD5;CCNA2;KPNA2;MZT1;HJURP;CENPN;NRM;PLK4;KNSTRN;PCNA;NUCKS1;CENPE;CKAP5;CKS2;GTSE1;TACC3;TCF19;KIF2C;ATAD2;PRR11;AURKA;SGO1;SMC2;KIF15;SPC25;HMGB2;CCNF;DEPDC1;BUB1B;TMEM106C;TROAP,1,C8
prerank,FAN_EMBRYONIC_CTX_NSC_2,-0.773113484670944,-2.4352979178246725,0.0,0.0,0.0,110/221,11.04%,CDK1;TOP2A;RAD21;FOXM1;ECT2;CCNB1;SMC4;CCNB2;ILF2;MKI67;DLGAP5;NUSAP1;TRIM59;RHEB;PRC1;MELK;UBE2C;MAD2L1;EZH2;CENPM;TUBA1C;CEP55;CDC20;LMNB1;NUF2;BUB1;TTK;ACTN1;STIL;CKS1B;UBE2T;KIF11;KIF18A;TPX2;PTTG1;NDC80;TK1;ORC6;KIFC1;ZWINT;PLK1;KIF23;AURKB;KIF4A;SHCBP1;CKAP2L;ARHGAP11A;ANP32E;GGH;CDCA2;TRIP13;CENPF;DIAPH3;HMGB3;ATAD5;CCNA2;KPNA2;NCAPD3;MZT1;SKA1;HJURP;CENPN;NRM;PLK4;KNSTRN;GINS1;KIF5B;NUCKS1;BTG3;JPT1;LSM5;LBR;CENPE;CLIC1;RHNO1;CKAP5;CKS2;CIP2A;NEK2;GTSE1;TACC3;KIF2C;PRR11;AURKA;SGO1;CNIH4;SMC2;KIF15;SPC25;HMGB2;CENPA;CCNF;DEPDC1;BUB1B;TMSB15A;PPP2R5C;SAPCD2;TROAP;TUBG1;CDCA5;DBF4;NCAPH;NCAPG;MND1;CEP70;SPDL1;VDAC3;CDCA3;LGALS1;FAM83D,1,C8
prerank,DESCARTES_FETAL_STOMACH_SQUAMOUS_EPITHELIAL_CELLS,-0.8328366511752816,-2.4051530795961824,0.0,0.0,0.0,23/62,7.68%,S100A9;KRT17;S100A2;KRT6B;LY6D;KRT5;CALML5;TACSTD2;KRT16;KRT15;SERPINB5;NECTIN4;RHOV;NECTIN1;SCNN1B;GPR87;TP63;FAT2;PLEKHN1;PKP1;TMEM40;GALNT14;AQP3,1,C8
prerank,GAO_LARGE_INTESTINE_ADULT_CH_MKI67HIGH_CELLS,-0.7845967843929458,-2.3838954553039025,0.0,0.0,0.0,65/98,15.29%,TOP2A;FOXM1;MKI67;ANLN;MYBL2;FEN1;CEP55;NUF2;BUB1;KIF11;TPX2;NDC80;FAM111B;RAD51AP1;KIFC1;DSCC1;KIF23;AURKB;KIF4A;CKAP2L;ARHGAP11A;CDCA2;TRIP13;CENPF;DIAPH3;FANCB;RAD54L;CCNA2;EXO1;HJURP;NRM;PLK4;MCM10;PKMYT1;CIP2A;APOBEC3B;GTSE1;TACC3;KIF2C;KIF15;CENPA;DEPDC1;BUB1B;RAD51;TROAP;CDCA5;NCAPH;NCAPG;CHAF1B;CDCA3;CDC45;DTL;OIP5;SKA3;CENPH;DNA2;KIF20A;REXO5;DEPDC1B;PIF1;ERCC6L;DDIAS;BIRC5;ESCO2;CDC25C,1,C8
prerank,BUSSLINGER_GASTRIC_ISTHMUS_CELLS,-0.597069322838308,-2.31984721234663,0.0,0.0,0.0,129/423,7.57%,MUC1;EPCAM;DSP;MAL2;TOP2A;DHCR24;PTPRF;S100A14;KRT8;PRDX1;YWHAZ;TACSTD2;CCNB1;CDS1;SPINT2;FXYD3;SMC4;CSTB;SDC1;ELF3;CFL1;PPDPF;MKI67;CAPG;S100A16;PERP;TFCP2L1;KDELR2;S100A11;NUSAP1;TPM1;PRC1;TES;MYO10;EZR;KRT19;SERPINB5;HDGF;FHL2;ITGB1;CDH1;UBE2C;ESRP1;CANX;S100A6;TUBA1C;ANXA2;PYCR1;PDIA4;PPM1G;EIF5B;PKP3;BCAP31;S100P;LGALS3;HSP90AA1;GSTP1;PLP2;TPX2;PTTG1;TK1;RPN1;SYNGR2;TTC39A;LAD1;YWHAB;NQO1;FLNB;SEC61A1;MTDH;MANF;TKT;TSPAN15;S100A10;MYH14;SERBP1;ACTR2;CRIP1;SNRPG;ACTG1;DNAJB11;TMED9;CENPF;KDELR3;TMEM54;SLC44A2;HSP90AB1;GMDS;TAGLN2;CLMN;ARPC1A;TUBA1B;SNRPB;PSMA7;CAST;MGST3;PSMA4;HSPB1;BACE2;DBI;PDIA6;YBX1;CYC1;DDX18;RAB27B;ARF5;KIF5B;NUCKS1;PFN1;JPT1;SEC63;ME1;CAP1;TSPO;CENPE;PTTG1IP;CLIC1;INF2;CKS2;STMN1;TACC3;GIPC1;ENO1;SDC4;MCU;SDF2L1;RAC1;DHFR;AP1M2,1,C8
prerank,HAY_BONE_MARROW_PRO_B,-0.6812744451688696,-2.317189463086402,0.0,0.0,0.0,119/263,13.18%,CD24;TOP2A;CDKN2A;RAD21;DEK;FOXM1;SMC4;USP1;MKI67;TYMS;NUSAP1;SRP9;MARCKSL1;UBE2C;MAD2L1;EZH2;NDUFA4;MAGOH;CENPM;ATP5F1C;CEP55;LMNB1;PPP1CA;NUF2;CKS1B;KIF11;CLSPN;TPX2;NDC80;HERC5;CDCA7;FAIM;FAM111B;RAD51AP1;KIFC1;ZWINT;AURKB;SHCBP1;CKAP2L;ANP32E;GGH;TXNDC12;CCNE2;ACTG1;CENPF;VDAC1;HMGB3;KPNA2;E2F1;TUBA1B;UBB;RBBP7;WDR76;SET;HMGN1;NSD2;MZT1;UBE2I;GLO1;HJURP;CENPN;NRM;HAUS1;YWHAQ;ACAT2;CD47;NUCKS1;CCDC167;HNRNPA3;PSMB8;PAQR4;TIFA;CIP2A;SAC3D1;STMN1;GTSE1;TACC3;TCF19;ATAD2;PRR11;SGO1;MDH1;GALNT14;QPRT;MED30;KIF15;SPC25;HMGB2;CTPS1;CENPA;CCNF;ACOT7;TMSB15A;RAD51;TMEM106C;CDCA5;INCENP;MND1;CEP70;SF3B2;STRBP;TFDP2;HELLS;KNL1;RMI2;PSMC3IP;CARHSP1;HMCES;RBM8A;FBXO5;HMGN3;NONO;SKA3;NUDT21;IFT22;TIMELESS;TUBB;SMARCB1;ASPM,1,C8
prerank,MANNO_MIDBRAIN_NEUROTYPES_HPROGBP,-0.5919884301971082,-2.267255343337543,0.0,0.0,0.0,113/271,10.33%,DSG2;CDK1;TOP2A;DSC2;GPSM2;ITGB8;FOXM1;ECT2;CCNB1;SMC4;CCNB2;MKI67;CCN2;TYMS;DLGAP5;ANLN;NUSAP1;TRIM59;PRC1;MELK;SLC6A8;MYBL2;UBE2C;CHEK1;MAD2L1;CENPU;GMNN;LMNB1;HMGA1;NUF2;BUB1;NAXE;TTK;PMAIP1;RFC4;ACTL6A;CKS1B;PLSCR1;UBE2T;GSTP1;KIF11;KIF18A;CLSPN;TPX2;PTTG1;TK1;MAT2B;FANCI;MCM5;RAD51AP1;ZWINT;PLK1;KIF23;AURKB;KIF4A;CKAP2L;ARHGAP11A;ANP32E;MCM6;CENPF;FANCB;MDK;GNG5;CCNA2;RIDA;SHROOM3;HJURP;CENPN;FAT2;YAP1;KNSTRN;GINS1;PCNA;LBR;CENPE;CKS2;CIP2A;NEK2;GTSE1;TACC3;KIF2C;SLC39A4;ATAD2;PRR11;AURKA;SGO1;MYLK;TMEM97;DHFR;LRP2;KIF15;WEE1;SPC25;HMGB2;GINS2;DEPDC1;BUB1B;RNF13;TMSB15A;SAPCD2;WNT5A;TROAP;CDCA5;LRRN1;DBF4;NCAPH;NES;NCAPG;MND1;UHRF1;SPDL1;SFRP1;HAT1,1,C8
