Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,Cluster,GeneSet
prerank,GOBP_INTERMEDIATE_FILAMENT_BASED_PROCESS,-0.7815957255071728,-2.385161418917725,0.0,0.0,0.0,16/89,4.74%,DSP;KRT17;KRT6B;KRT7;KRT5;KRT23;EPPK1;FAM83H;KRT16;KRT15;KRT19;NEFH;SYNM;KRT80;EVPL;KRT86,1,GO_BP
prerank,GOBP_INTERMEDIATE_FILAMENT_ORGANIZATION,-0.810505683043759,-2.3690390218268966,0.0,0.0,0.0,13/70,4.74%,DSP;KRT17;KRT6B;KRT7;KRT5;KRT23;EPPK1;KRT16;KRT15;KRT19;NEFH;KRT80;KRT86,1,GO_BP
prerank,GOBP_CHROMOSOME_SEGREGATION,-0.5611467270960937,-2.0389281205911667,0.0,0.0107817800032304,0.03,109/412,10.17%,CDK1;TOP2A;RAD21;GPSM2;SYCP2;MAPK15;NDC1;ECT2;CCNB1;SMC4;CCNB2;MKI67;DLGAP5;NUSAP1;PRC1;SRPK1;ZWILCH;ACTB;MYBL2;UBE2C;RNF212;MAD2L1;CENPU;CENPM;RCC1;CEP55;CDC20;NUF2;BUB1;TTK;CDT1;ACTL6A;RIOK2;STIL;CIAO2A;SMARCC1;PLSCR1;CHMP5;KIF11;KIF18A;TPX2;PTTG1;NDC80;SMC3;FLNA;SMARCA5;HORMAD1;KIFC1;ZWINT;PLK1;KIF23;AURKB;KIF4A;CCSAP;CDCA2;ACTR2;TRIP13;CCNE2;TOP2B;CENPF;DIAPH3;NCAPD3;SMC6;CHMP4C;MZT1;UBE2I;SKA1;HJURP;CENPN;HAUS1;DYNC1LI1;ACTR3;KNSTRN;CENPE;WASHC5;SAC3D1;NEK2;RAB11A;TACC3;CENPX;KIF2C;CEP85;CENPL;ZW10;AURKA;SMARCA2;SGO1;SMC2;BEX4;USP9X;KIF15;SPC25;DCAF13;BRD7;BUB1B;RHOA;MAD2L1BP;CENPO;TUBG1;CDCA5;CDC16;INCENP;NCAPH;CCNE1;NCAPG;CHMP2B;MND1;UHRF1;SPDL1,1,GO_BP
prerank,GOBP_REGULATION_OF_VIRAL_GENOME_REPLICATION,-0.6591364482296749,-2.0262429219136724,0.0,0.0080863350024228,0.03,19/78,5.17%,LTF;SLPI;TOP2A;MX1;ISG15;EIF2AK2;OAS2;IFIT1;BST2;SRPK1;ADAR;PLSCR1;HACD3;RSAD2;OAS1;TNF;TOP2B;VAPB;OAS3,1,GO_BP
prerank,GOBP_SISTER_CHROMATID_SEGREGATION,-0.6252865809682351,-2.018520351570436,0.0,0.0086254240025843,0.04,71/229,10.17%,CDK1;TOP2A;RAD21;MAPK15;CCNB1;SMC4;DLGAP5;NUSAP1;PRC1;ZWILCH;ACTB;MYBL2;UBE2C;MAD2L1;RCC1;CEP55;CDC20;NUF2;BUB1;TTK;CDT1;ACTL6A;RIOK2;SMARCC1;CHMP5;KIF11;KIF18A;TPX2;NDC80;SMC3;FLNA;SMARCA5;KIFC1;ZWINT;PLK1;KIF23;AURKB;KIF4A;CCSAP;TRIP13;TOP2B;CENPF;NCAPD3;CHMP4C;MZT1;SKA1;DYNC1LI1;KNSTRN;CENPE;NEK2;RAB11A;TACC3;KIF2C;ZW10;SMARCA2;SMC2;KIF15;SPC25;BRD7;BUB1B;RHOA;MAD2L1BP;TUBG1;CDCA5;CDC16;INCENP;NCAPH;NCAPG;CHMP2B;UHRF1;SPDL1,1,GO_BP
prerank,GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION,-0.617571722992078,-2.005062811332838,0.0,0.0107817800032304,0.04,61/188,10.17%,CDK1;RAD21;CCNB1;SMC4;DLGAP5;NUSAP1;PRC1;ZWILCH;MYBL2;UBE2C;MAD2L1;RCC1;CEP55;CDC20;NUF2;BUB1;TTK;CDT1;CHMP5;KIF11;KIF18A;TPX2;NDC80;SMC3;FLNA;SMARCA5;KIFC1;ZWINT;PLK1;KIF23;AURKB;KIF4A;CCSAP;TRIP13;CENPF;NCAPD3;CHMP4C;MZT1;SKA1;DYNC1LI1;KNSTRN;CENPE;NEK2;RAB11A;KIF2C;ZW10;SMC2;KIF15;SPC25;BUB1B;RHOA;MAD2L1BP;TUBG1;CDCA5;CDC16;INCENP;NCAPH;NCAPG;CHMP2B;UHRF1;SPDL1,1,GO_BP
prerank,GOBP_REGULATION_OF_SPINDLE_ASSEMBLY,-0.7320726287220096,-1.966692909596693,0.0,0.0092415257170547,0.04,8/32,5.32%,GPSM2;MAPK15;RCC1;STIL;CHMP5;PLK1;CCSAP;CHMP4C,1,GO_BP
prerank,GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION,-0.64027802008266,-1.9600152858946769,0.0,0.0080863350024228,0.04,57/129,13.93%,CDK1;RAD21;MAPK15;CCNB1;SMC4;DLGAP5;ZWILCH;ACTB;UBE2C;MAD2L1;CDC20;NUF2;BUB1;TTK;ACTL6A;RIOK2;SMARCC1;PLSCR1;NDC80;HORMAD1;ZWINT;PLK1;AURKB;TRIP13;CENPF;NCAPD3;SMC6;SKA1;DYNC1LI1;CENPE;TACC3;KIF2C;ZW10;SMARCA2;SMC2;SPC25;BRD7;BUB1B;MAD2L1BP;CDC16;INCENP;NCAPH;NCAPG;SPDL1;NSMCE2;KNL1;RMI2;CDC6;FBXO5;SKA3;SMARCD2;SMARCB1;ANAPC11;SPC24;BCL7A;DPF2;KNTC1,1,GO_BP
prerank,GOBP_NUCLEAR_CHROMOSOME_SEGREGATION,-0.5816365253100184,-1.9395678495214628,0.0,0.0083858288914014,0.05,87/309,10.17%,CDK1;TOP2A;RAD21;SYCP2;MAPK15;NDC1;ECT2;CCNB1;SMC4;CCNB2;DLGAP5;NUSAP1;PRC1;ZWILCH;ACTB;MYBL2;UBE2C;RNF212;MAD2L1;RCC1;CEP55;CDC20;NUF2;BUB1;TTK;CDT1;ACTL6A;RIOK2;SMARCC1;CHMP5;KIF11;KIF18A;TPX2;PTTG1;NDC80;SMC3;FLNA;SMARCA5;HORMAD1;KIFC1;ZWINT;PLK1;KIF23;AURKB;KIF4A;CCSAP;ACTR2;TRIP13;CCNE2;TOP2B;CENPF;NCAPD3;CHMP4C;MZT1;SKA1;DYNC1LI1;ACTR3;KNSTRN;CENPE;WASHC5;NEK2;RAB11A;TACC3;KIF2C;ZW10;AURKA;SMARCA2;SGO1;SMC2;KIF15;SPC25;DCAF13;BRD7;BUB1B;RHOA;MAD2L1BP;TUBG1;CDCA5;CDC16;INCENP;NCAPH;CCNE1;NCAPG;CHMP2B;MND1;UHRF1;SPDL1,1,GO_BP
prerank,GOBP_REGULATION_OF_DNA_TEMPLATED_DNA_REPLICATION_INITIATION,-0.8306711980761753,-1.933593366014788,0.0,0.0086254240025843,0.06,9/16,6.19%,MCM2;MCM4;GMNN;TICRR;CDT1;MCM5;MCM6;MCM3;WRNIP1,1,GO_BP
prerank,GOBP_BUNDLE_OF_HIS_CELL_TO_PURKINJE_MYOCYTE_COMMUNICATION,-0.8784916082955447,-1.9312205694029287,0.0,0.0088214563662794,0.07,3/15,0.16%,DSG2;DSP;DSC2,1,GO_BP
prerank,GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION,-0.7737175378374098,-1.9302435056544205,0.0,0.0089848166693587,0.08,13/49,3.20%,LTF;SLPI;MX1;ISG15;EIF2AK2;OAS2;IFIT1;BST2;SRPK1;PLSCR1;RSAD2;OAS1;TNF,1,GO_BP
prerank,GOBP_CHROMOSOME_SEPARATION,-0.6389658466050789,-1.9292638407074605,0.0,0.0082936769255619,0.08,32/81,10.17%,RAD21;MAPK15;CCNB1;SMC4;DLGAP5;ZWILCH;UBE2C;MAD2L1;CDC20;NUF2;BUB1;TTK;PLSCR1;NDC80;ZWINT;PLK1;AURKB;TRIP13;CENPF;NCAPD3;SKA1;DYNC1LI1;ZW10;SMC2;SPC25;BUB1B;MAD2L1BP;CDC16;INCENP;NCAPH;NCAPG;SPDL1,1,GO_BP
prerank,GOBP_MEIOTIC_CHROMOSOME_SEGREGATION,-0.6378732013309214,-1.905512382583548,0.0,0.0100116528601426,0.11,31/88,12.45%,SYCP2;MAPK15;NDC1;SMC4;CCNB2;RNF212;NUF2;TTK;PTTG1;NDC80;HORMAD1;ZWINT;PLK1;ACTR2;TRIP13;CCNE2;SKA1;ACTR3;WASHC5;AURKA;SGO1;SMC2;DCAF13;NCAPH;CCNE1;MND1;KNL1;PSMC3IP;BRIP1;FBXO5;SKA3,1,GO_BP
prerank,GOBP_REGULATION_OF_SISTER_CHROMATID_SEGREGATION,-0.632524189321068,-1.892222168262248,0.0,0.0107817800032304,0.13,48/106,13.93%,CDK1;RAD21;MAPK15;CCNB1;DLGAP5;ZWILCH;ACTB;UBE2C;MAD2L1;CDC20;NUF2;BUB1;TTK;ACTL6A;RIOK2;SMARCC1;NDC80;ZWINT;PLK1;AURKB;TRIP13;CENPF;SKA1;DYNC1LI1;CENPE;TACC3;ZW10;SMARCA2;SPC25;BRD7;BUB1B;MAD2L1BP;CDC16;INCENP;SPDL1;NSMCE2;KNL1;RMI2;CDC6;FBXO5;SKA3;SMARCD2;SMARCB1;ANAPC11;SPC24;BCL7A;DPF2;KNTC1,1,GO_BP
prerank,GOBP_MITOTIC_METAPHASE_CHROMOSOME_ALIGNMENT,-0.6853506928928689,-1.8847448813792085,0.0,0.0128033637538362,0.16,21/63,10.17%,CDK1;CCNB1;CEP55;NUF2;TTK;CDT1;CHMP5;KIF18A;NDC80;KIFC1;AURKB;CHMP4C;SKA1;CENPE;RAB11A;KIF2C;ZW10;CDCA5;INCENP;CHMP2B;SPDL1,1,GO_BP
prerank,GOBP_MITOTIC_SPINDLE_ORGANIZATION,-0.619801966403772,-1.8829102285922776,0.0,0.0133186694157553,0.18,40/131,10.09%,GPSM2;CCNB1;DLGAP5;PRC1;MYBL2;RCC1;CDC20;NUF2;TTK;STIL;CHMP5;KIF11;TPX2;NDC80;SMC3;FLNA;KIFC1;PLK1;KIF23;AURKB;KIF4A;CCSAP;CHMP4C;MZT1;CENPE;CKAP5;NEK2;STMN1;RAB11A;TACC3;AURKA;KIF15;SPC25;RHOA;BORA;TUBG1;INCENP;CHMP2B;TBCE;UHRF1,1,GO_BP
prerank,GOBP_DNA_REPLICATION_INITIATION,-0.7281137131266409,-1.8797765900121493,0.0,0.0137767188930167,0.19,19/38,12.00%,MCM2;MCM4;GMNN;TICRR;CDT1;MCM5;ORC6;ORC1;CCNE2;MCM6;PRIM2;MCM3;WRNIP1;MCM10;CCNE1;CDC45;TOPBP1;CDC6;MCM7,1,GO_BP
prerank,GOBP_CHROMOSOME_CONDENSATION,-0.7566245160509647,-1.8689402172723129,0.0,0.0147540147412627,0.21,8/33,4.87%,CDK1;TOP2A;CCNB1;SMC4;NUSAP1;SMARCA5;PLK1;NCAPD3,1,GO_BP
prerank,GOBP_REGULATION_OF_RESPIRATORY_BURST,-0.8133606494482373,-1.8638881764043536,0.0,0.0167117590050072,0.23,2/17,0.48%,S100A9;LBP,1,GO_BP
prerank,GOBP_MITOTIC_SPINDLE_ASSEMBLY,-0.6608669160306239,-1.8216077848321623,0.0,0.028237995246556,0.34,24/72,10.09%,PRC1;MYBL2;RCC1;CDC20;CHMP5;KIF11;TPX2;SMC3;FLNA;KIFC1;PLK1;KIF23;AURKB;KIF4A;CCSAP;CHMP4C;MZT1;NEK2;RAB11A;KIF15;RHOA;INCENP;CHMP2B;UHRF1,1,GO_BP
prerank,GOBP_REGULATION_OF_SPINDLE_ORGANIZATION,-0.6575668631462893,-1.8169402661229008,0.0,0.0303850163727404,0.4,12/46,9.88%,GPSM2;MAPK15;RCC1;STIL;CHMP5;TPX2;PLK1;CCSAP;CHMP4C;TACC3;BORA;CHMP2B,1,GO_BP
prerank,GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION,0.8624095707247048,1.8134255698455315,0.0,0.2063230310996418,0.17,20/60,5.32%,TNXB;LRP1;LAMA2;EMILIN1;ABL1;PPARG;IL6;TGFBR3;SMAD3;PRDM5;TNFRSF1A;NID1;LAMB1;LAMA1;PDPN;CST3;AEBP1;RUNX1;RECK;HAS2,1,GO_BP
