Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,Cluster,GeneSet
prerank,GOMF_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION,-0.9086577839691264,-2.0298902523928777,0.0,0.0283955270762658,0.02,9/17,2.17%,EPCAM;TRIM29;S100A11;CNN3;RAB10;ANXA2;PPP1CA;TMOD3;PKP3,1,GO_MF
prerank,GOMF_MYOSIN_V_BINDING,-0.7848977359744482,-1.8517703599451736,0.0,0.1135821083050634,0.15,6/17,7.35%,RAB25;RAB10;RAB6B;RAB27B;RAB11A;RAB8A,1,GO_MF
prerank,GOMF_CALCIUM_DEPENDENT_PROTEIN_BINDING,-0.6295308282062286,-1.8139953473382384,0.0,0.1135821083050634,0.22,15/79,3.37%,S100A9;S100A8;S100A2;LRP8;S100A14;VLDLR;S100A16;S100A11;S100A6;ANXA2;SYT8;S100P;ANXA3;S100A1;S100A10,1,GO_MF
prerank,GOMF_HISTONE_KINASE_ACTIVITY,-0.7678832900553201,-1.775039239939748,0.0,0.1313293127277296,0.31,12/22,14.59%,CDK1;CHEK1;PRKDC;PKM;BUB1;AURKA;JAK2;DCAF1;ATR;DYRK1A;MAP3K7;HASPIN,1,GO_MF
prerank,GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT,0.7983738502927944,1.770270356114569,0.0,0.1075841565761357,0.09,41/165,5.27%,TNXB;OGN;COL14A1;DCN;ABI3BP;SRPX;MFAP4;PODN;LAMA2;FBLN1;COL6A6;EMILIN1;PCOLCE;FBN1;PRELP;ADIPOQ;EMILIN2;LAMA4;THBS2;COL15A1;HMCN1;NID1;DPT;THBS1;LAMB1;VWF;LTBP4;MMRN1;MUC3A;COL6A3;LAMA1;EFEMP1;PRG4;VCAN;MGP;MMRN2;AEBP1;LAMA3;CCN1;ASPN;COL6A2,1,GO_MF
prerank,GOMF_DNA_BINDING_BENDING,-0.8135219293504292,-1.7445432523962716,0.0384615384615384,0.1590149516270888,0.4,5/17,4.16%,TOP2A;FOXI1;FOXC1;HMGA1;HMGB3,1,GO_MF
prerank,GOMF_PROTON_TRANSPORTING_ATP_SYNTHASE_ACTIVITY_ROTATIONAL_MECHANISM,-0.7657727212504638,-1.7402496256147917,0.0,0.1443439293043514,0.42,5/15,5.37%,ATP5F1C;ATP5F1B;ATP5MF;ATP6V0C;ATP5F1E,1,GO_MF
prerank,GOMF_SCAVENGER_RECEPTOR_ACTIVITY,0.8891860218329137,1.7391553841740954,0.0,0.125514849338825,0.21,9/26,3.96%,CD36;STAB1;COLEC12;LRP1;ENPP2;SCARF2;PRG4;CD163;ACKR3,1,GO_MF
prerank,GOMF_EXTRACELLULAR_MATRIX_BINDING,0.8088724105496394,1.7285971544641314,0.0,0.1045957077823542,0.25,10/63,3.37%,TNXB;ADAMTS15;DCN;CD248;SMOC2;SPARCL1;NID1;THBS1;SLIT2;POLR2A,1,GO_MF
prerank,GOMF_STRUCTURAL_CONSTITUENT_OF_SKIN_EPIDERMIS,-0.777420988788644,-1.7217964407708564,0.0,0.1440058873153483,0.47,8/33,6.84%,KRT6B;KRT7;KRT5;TUFT1;PI3;KRT80;KRT86;PKP1,1,GO_MF
