Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GOCC_KERATIN_FILAMENT,0.8434637803137782,2.13841175136259,0.0,0.0,0.0,10/67,3.14%,KRT7;KRT6B;EPPK1;KRT8;KRT5;FAM83H;KRT16;CASP14;KRT80;KRT86
prerank,GOCC_CORNIFIED_ENVELOPE,0.7784821058530658,2.1256466930236626,0.0,0.0,0.0,17/58,8.38%,KRT17;DSP;DSG2;DSC2;KRT16;SERPINB5;PI3;KLK6;CASP14;ANXA2;PKP3;EVPL;CAPN1;CST6;PKP1;JUP;PPL
prerank,GOCC_INTERMEDIATE_FILAMENT_CYTOSKELETON,0.6585939926232719,1.927052259754725,0.0,0.0,0.0,29/198,7.70%,S100A8;KRT17;DSP;KRT7;KRT6B;EPPK1;KRT8;KRT23;KRT19;KRT5;FAM83H;KRT16;CASP14;KRT80;LMNB1;EVPL;NEFH;SESTD1;DES;KRT15;KRT86;SYNM;NES;RAD51;SLC1A6;NCKIPSD;KRT83;PKP1;JUP
prerank,GOCC_CONDENSED_NUCLEAR_CHROMOSOME,0.6795987888441448,1.9175222082950267,0.0,0.0,0.0,23/76,12.22%,RAD21;SYCP2;RNF212;RCC1;CHEK1;SMC4;PLK1;SMC1B;NCAPD3;NEK2;UBE2I;HORMAD1;RAD51;LRPPRC;NIFK;NCAPG2;INCENP;NCAPG;TUBG1;SMC2;SMC3;NCAPH;TOPBP1
prerank,GOCC_LATERAL_PLASMA_MEMBRANE,0.7028201995642207,1.8934576506308227,0.0,0.007947019867549669,0.02,15/64,8.59%,EPCAM;DSG2;ATP1B1;CLDN4;CLDN3;GPSM2;CLDN7;TACSTD2;CDH1;CEACAM1;SLC16A3;CLDN1;DVL1;SLC6A9;CTNNB1
prerank,GOCC_CONDENSED_CHROMOSOME,0.6019271229471052,1.8919785967743292,0.0,0.006622516556291391,0.02,95/273,13.57%,RAD21;SYCP2;TOP2A;CDC20;RNF212;SUMO3;CCNB1;RCC1;NUDCD2;CHEK1;SMC4;NUF2;MKI67;BUB1;CBX3;CENPU;MAD2L1;ACTL6A;TTK;ACTB;CENPF;PLK1;ZWILCH;KIF2C;NDC80;SEC13;SMC1B;CENPA;CDT1;AURKB;SPC25;KIF18A;NCAPD3;NEK2;SMARCA5;SKA1;CENPX;CHMP5;HSF1;SMARCC1;UBE2I;HORMAD1;SKA3;RAD51;AURKA;LRPPRC;CENPN;CHMP4C;KNSTRN;CENPO;CENPI;CENPM;DYNLT3;NIFK;HJURP;BIRC5;CKAP5;ZWINT;CENPL;DYNC1LI1;KNL1;BANF1;BRD7;NCAPG2;INCENP;NCAPG;SGO1;BUB1B;ERCC6L;MTBP;CENPE;SPC24;TUBG1;NSMCE2;BOD1;SPDL1;HMGB2;XPO1;SMC2;MEAF6;SMC3;DYNLL1;NCAPH;KIF22;FBXO28;TOPBP1;FBXW11;ZW10;CHMP2B;BAZ1B;CENPQ;PSMC3IP;SMARCB1;CHMP3;CENPH
prerank,GOCC_NUCLEAR_CHROMOSOME,0.5987234490787297,1.854565782656486,0.0,0.011352885525070957,0.04,64/220,13.62%,RAD21;MCM4;SYCP2;TOP2A;RNF212;RCC1;CHEK1;MCM2;SMC4;CHRAC1;WDHD1;ACTL6A;ANP32E;TONSL;PLK1;ORC6;RBBP7;SMC1B;ORC1;MCM3;MCM10;NCAPD3;NEK2;SMARCA5;UBE2I;GINS1;HDAC2;HORMAD1;RAD51;LRPPRC;PCNA;NIFK;BIRC5;PRIM2;UCHL5;E2F1;GINS4;NCAPG2;MCM6;INCENP;CDC45;NCAPG;YY1AP1;PRPF19;TUBG1;MORF4L1;CDC5L;DHX9;SMC2;SMC3;TRIM24;MCM5;SPIDR;NCAPH;TOPBP1;ORC3;BAZ1B;MMS22L;PSMC3IP;TIMELESS;POLE2;SMARCB1;GINS2;SETX
prerank,GOCC_NADH_DEHYDROGENASE_COMPLEX,0.7192400746942615,1.8176085059085543,0.0,0.019867549668874173,0.07,24/47,13.18%,NDUFB9;NDUFA4;NDUFAB1;NDUFB2;NDUFA6;NDUFC2;NDUFB10;NDUFB6;MT-ND4;NDUFB4;NDUFS8;NDUFS5;NDUFB5;NDUFS6;MT-ND4L;NDUFA8;NDUFA5;NDUFB1;NDUFB11;MT-ND2;NDUFB3;MT-ND5;NDUFA1;NDUFS3
prerank,GOCC_RESPIRATORY_CHAIN_COMPLEX,0.6548424966300226,1.8022257883972486,0.0,0.022075055187637967,0.09,45/101,13.61%,NDUFB9;COX6C;UQCRH;NDUFA4;UQCRC1;STMP1;NDUFAB1;UQCR10;CYC1;ATP5MF;ATP5F1C;NDUFB2;NDUFA6;NDUFC2;NDUFB10;NDUFB6;MT-CO2;MT-ND4;NDUFB4;NDUFS8;ATP5F1E;NDUFS5;NDUFB5;COX7A2L;NDUFS6;COX8A;UQCRC2;MT-ND4L;NDUFA8;NDUFA5;NDUFB1;ATP5F1B;ATP5MC3;COX7B;NDUFB11;MT-ND2;COX5B;COX7A2;NDUFB3;UQCRQ;SURF1;MT-ND5;NDUFA1;NDUFS3;ATP5MG
prerank,GOCC_DESMOSOME,0.7385716492809943,1.7989496198700092,0.0,0.02185430463576159,0.1,9/31,2.60%,DSP;DSG2;DSC2;KRT80;VCL;CDH1;PKP3;PERP;EVPL
prerank,GOCC_CONDENSED_CHROMOSOME_CENTROMERIC_REGION,0.5952088230797127,1.7985039908352276,0.0,0.019867549668874173,0.1,72/180,13.91%,SYCP2;CDC20;SUMO3;CCNB1;NUDCD2;NUF2;BUB1;CBX3;CENPU;MAD2L1;ACTL6A;TTK;ACTB;CENPF;PLK1;ZWILCH;KIF2C;NDC80;SEC13;CENPA;CDT1;AURKB;SPC25;KIF18A;NCAPD3;NEK2;SKA1;CENPX;CHMP5;HSF1;SMARCC1;SKA3;AURKA;CENPN;CHMP4C;KNSTRN;CENPO;CENPI;CENPM;DYNLT3;HJURP;BIRC5;CKAP5;ZWINT;CENPL;DYNC1LI1;KNL1;BRD7;INCENP;NCAPG;SGO1;BUB1B;ERCC6L;MTBP;CENPE;SPC24;BOD1;SPDL1;XPO1;MEAF6;DYNLL1;KIF22;FBXO28;FBXW11;ZW10;CHMP2B;CENPQ;SMARCB1;CHMP3;CENPH;CEBPB;KMT5B
prerank,GOCC_SYNAPTONEMAL_STRUCTURE,0.6969592644985011,1.7907735099495468,0.0,0.02152317880794702,0.12,8/38,8.15%,SYCP2;RNF212;PLK1;SMC1B;UBE2I;HORMAD1;RAD51;INCENP
prerank,GOCC_PROTEASOME_COMPLEX,0.6775256499799357,1.789150538004735,0.0,0.02139582272032603,0.13,25/62,12.37%,PSMB5;PSMB2;PSMD10;PSMC2;PSMC1;PSMD2;PSMA7;PSMA4;PSMD14;PSMD4;TXNL1;PSMA3;PSME4;USP14;UCHL5;PSMA5;SEM1;ADRM1;RAD23B;UBQLN4;HSPB1;PSMB4;PSMD1;PSMC3;PSMA2
prerank,GOCC_PRECATALYTIC_SPLICEOSOME,0.653233641454141,1.7864375801548382,0.0,0.021286660359508044,0.14,14/51,12.74%,TXNL4A;PRPF38A;SF3B4;SNRPG;SNU13;LSM2;SNRPE;SNRPB;LSM3;SF3B2;LSM4;LSM5;PHF5A;PRPF3
prerank,GOCC_PROTEASOME_ACCESSORY_COMPLEX,0.7633218051368278,1.7864039774326717,0.0,0.01986754966887417,0.14,13/24,15.58%,PSMD10;PSMC2;PSMC1;PSMD2;PSMD14;PSMD4;SEM1;ADRM1;PSMD1;PSMC3;PSMD11;PSMC6;PSMD12
