Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GOMF_LIGAND_GATED_SODIUM_CHANNEL_ACTIVITY,0.9980827864597109,2.3694737901386755,0.06944444444444445,1.0,0.81,1/18,0.20%,GRIK5
prerank,GOMF_G_PROTEIN_COUPLED_CHEMOATTRACTANT_RECEPTOR_ACTIVITY,0.9925098285898095,2.364292117574783,0.16,1.0,0.85,2/25,0.76%,CXCR2;CMKLR1
prerank,GOMF_BASIC_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.9998785809379661,2.2915573976102728,0.0,1.0,0.98,1/20,0.02%,SLC7A4
prerank,GOMF_C_C_CHEMOKINE_BINDING,0.9987512684703596,2.286212470111816,0.06,0.8562408576665989,0.98,1/24,0.13%,CXCR2
prerank,GOMF_STRUCTURAL_CONSTITUENT_OF_POSTSYNAPSE,0.9972927531249478,2.269423623481852,0.09523809523809523,0.795600570296443,0.98,1/16,0.28%,NEFL
prerank,GOMF_NUCLEOSIDE_MONOPHOSPHATE_KINASE_ACTIVITY,0.9911536373891077,2.2466864519820464,0.19607843137254902,0.7842810499873473,0.99,1/17,0.88%,MAGI3
prerank,GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_NH2_GROUP_OF_DONORS,0.993736780702041,2.2115822904344857,0.1836734693877551,0.833024290502025,1.0,1/19,0.63%,MAOA
prerank,GOMF_L_ASCORBIC_ACID_BINDING,0.9911773382313264,2.1908955427250576,0.20689655172413793,0.8817097783620642,1.0,1/19,0.88%,P3H3
prerank,GOMF_HISTONE_H4_ACETYLTRANSFERASE_ACTIVITY,0.9925167318052885,2.177910890922147,0.16923076923076924,0.8548932957250398,1.0,1/21,0.75%,KAT6A
prerank,GOMF_OPSONIN_BINDING,0.9922529209649235,2.177587882728763,0.20833333333333334,0.7703742107504582,1.0,1/17,0.78%,VSIG4
prerank,GOMF_COMPLEMENT_BINDING,0.9922399180077457,2.157095900064953,0.21739130434782608,0.7929544486657454,1.0,1/20,0.78%,VSIG4
prerank,GOMF_BETA_1_3_GALACTOSYLTRANSFERASE_ACTIVITY,0.9957772940956438,2.153752940350873,0.07142857142857142,0.7341517457613519,1.0,1/15,0.43%,B3GNT6
prerank,GOMF_PROTEIN_HORMONE_RECEPTOR_ACTIVITY,0.9924135830598558,2.143072070832408,0.24489795918367346,0.7232053964514571,1.0,1/19,0.76%,CMKLR1
prerank,GOMF_PHOSPHOLIPASE_BINDING,0.9972914802913271,2.1077982479517803,0.07936507936507936,0.8032239207086912,1.0,1/23,0.28%,NEFL
prerank,GOMF_CHEMOKINE_BINDING,0.9987473056728559,2.087238147566874,0.07407407407407407,0.8454064596564643,1.0,1/32,0.13%,CXCR2
prerank,GOMF_CYCLIC_NUCLEOTIDE_PHOSPHODIESTERASE_ACTIVITY,0.9953732003965393,2.079613780009504,0.13114754098360656,0.8338039513396411,1.0,1/26,0.47%,PDE4C
prerank,GOMF_NUCLEOTIDE_RECEPTOR_ACTIVITY,0.9948167688151359,2.076756044310295,0.12727272727272726,0.800737159344268,1.0,1/18,0.52%,P2RY8
prerank,GOMF_CARBOHYDRATE_MONOATOMIC_CATION_SYMPORTER_ACTIVITY,0.9935163154165303,2.0754621227070205,0.16363636363636364,0.7605639598159086,1.0,1/16,0.65%,SLC45A4
prerank,GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_NH2_GROUP_OF_DONORS_OXYGEN_AS_ACCEPTOR,0.9937433464859763,2.0750966717521866,0.1875,0.7215555878234108,1.0,1/16,0.63%,MAOA
prerank,GOMF_INTRACELLULARLY_GATED_CALCIUM_CHANNEL_ACTIVITY,0.9913141307712265,2.0454645782061722,0.23529411764705882,0.8392615772029552,1.0,1/16,0.86%,MCOLN2
prerank,GOMF_LOW_DENSITY_LIPOPROTEIN_PARTICLE_RECEPTOR_ACTIVITY,0.9921970409608177,2.0222655662384605,0.19672131147540983,0.9355930051395455,1.0,1/15,0.78%,LRP1B
prerank,GOMF_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_ACTIVITY,0.9953767796360458,2.020298376798748,0.14,0.9045325774268318,1.0,1/22,0.47%,PDE4C
prerank,GOMF_G_PROTEIN_BETA_SUBUNIT_BINDING,0.9909528882701076,1.998172317996425,0.2916666666666667,0.9605421519432668,1.0,1/20,0.90%,F2R
prerank,GOMF_SPHINGOLIPID_TRANSPORTER_ACTIVITY,0.9979672095674235,1.9927645203961937,0.028985507246376812,0.9415415285672845,1.0,1/20,0.21%,MFSD2B
prerank,GOMF_PHOSPHATIDYLINOSITOL_3_KINASE_BINDING,0.9938354388098408,1.9908222002833869,0.27586206896551724,0.915134704760494,1.0,1/26,0.62%,TYRO3
prerank,GOMF_LIGAND_GATED_MONOATOMIC_ION_CHANNEL_ACTIVITY_INVOLVED_IN_REGULATION_OF_PRESYNAPTIC_MEMBRANE_POTENTIAL,0.9980839201457138,1.990425119896965,0.06153846153846154,0.8814299001126635,1.0,1/15,0.20%,GRIK5
prerank,GOMF_STRUCTURAL_CONSTITUENT_OF_EYE_LENS,0.9983567994128456,1.9724386582664046,0.09523809523809523,0.952995805070536,1.0,1/21,0.17%,CRYGD
prerank,GOMF_AMINO_ACID_MONOATOMIC_CATION_SYMPORTER_ACTIVITY,0.999253949734761,1.9664097938035812,0.0,0.9470280307579176,1.0,1/29,0.08%,SLC6A20
prerank,GOMF_LIPOPROTEIN_PARTICLE_RECEPTOR_ACTIVITY,0.9921911983777842,1.96420239576665,0.21428571428571427,0.9280891429782729,1.0,1/18,0.78%,LRP1B
prerank,GOMF_3_5_DNA_EXONUCLEASE_ACTIVITY,0.9919131202775691,1.9497800170651671,0.2765957446808511,0.967333864128724,1.0,1/15,0.81%,EXO5
prerank,GOMF_MONOATOMIC_ION_GATED_CHANNEL_ACTIVITY,0.9928016795595548,1.9348573242387694,0.2962962962962963,0.9858937043405962,1.0,1/29,0.72%,KCNMB3
prerank,GOMF_HISTONE_H3_ACETYLTRANSFERASE_ACTIVITY,0.9925335609015602,1.9279426731446816,0.20754716981132076,0.9763086266595071,1.0,1/16,0.75%,KAT6A
prerank,GOMF_CAMP_BINDING,0.995658463249341,1.9105802775400271,0.16666666666666666,1.0,1.0,1/21,0.44%,HCN4
